,Unnamed: 0,token,is_abbreviation,special_symbols,letters_numbers_combination,vowels_consonants_combination,get_token_length,upper_letters_rate,upper_letters_inside,is_in_dictionary
0,0,Недостаточность,0,0,1,3,15,0.06666666666666667,0,1
1,1,и,0,0,1,3,1,0.0,0,1
2,2,дефицит,0,0,1,3,7,0.0,0,1
3,3,витамина,0,0,1,3,8,0.0,0,1
4,4,D,0,0,1,0,1,1.0,0,0
5,5,у,0,0,1,3,1,0.0,0,1
6,6,женщин,0,0,1,3,6,0.0,0,1
7,7,с,0,0,1,0,1,0.0,0,1
8,8,бесплодием,0,0,1,3,10,0.0,0,1
9,9,встречаются,0,0,1,3,11,0.0,0,1
10,10,чаще,0,0,1,3,4,0.0,0,1
11,11,",",0,1,0,0,1,0.0,0,0
12,12,чем,0,0,1,3,3,0.0,0,1
13,13,в,0,0,1,0,1,0.0,0,1
14,14,популяции,0,0,1,3,9,0.0,0,1
15,15,.,0,1,0,0,1,0.0,0,0
16,16,Однако,0,0,1,3,6,0.16666666666666666,0,1
17,17,мы,0,0,1,3,2,0.0,0,1
18,18,до,0,0,1,3,2,0.0,0,1
19,19,сих,0,0,1,3,3,0.0,0,1
20,20,пор,0,0,1,3,3,0.0,0,1
21,21,не,0,0,1,3,2,0.0,0,1
22,22,знаем,0,0,1,3,5,0.0,0,1
23,23,точных,0,0,1,3,6,0.0,0,1
24,24,механизмов,0,0,1,3,10,0.0,0,1
25,25,участия,0,0,1,3,7,0.0,0,1
26,26,витамина,0,0,1,3,8,0.0,0,1
27,27,D,0,0,1,0,1,1.0,0,0
28,28,в,0,0,1,0,1,0.0,0,1
29,29,регуляции,0,0,1,3,9,0.0,0,1
30,30,репродуктивной,0,0,1,3,14,0.0,0,1
31,31,функции,0,0,1,3,7,0.0,0,1
32,32,.,0,1,0,0,1,0.0,0,0
33,33,Целью,0,0,1,3,5,0.2,0,1
34,34,данного,0,0,1,3,7,0.0,0,1
35,35,исследования,0,0,1,3,12,0.0,0,1
36,36,является,0,0,1,3,8,0.0,0,1
37,37,анализ,0,0,1,3,6,0.0,0,1
38,38,современных,0,0,1,3,11,0.0,0,1
39,39,литературных,0,0,1,3,12,0.0,0,1
40,40,данных,0,0,1,3,6,0.0,0,1
41,41,о,0,0,1,3,1,0.0,0,1
42,42,роли,0,0,1,3,4,0.0,0,1
43,43,витамина,0,0,1,3,8,0.0,0,1
44,44,D,0,0,1,0,1,1.0,0,0
45,45,в,0,0,1,0,1,0.0,0,1
46,46,регуляции,0,0,1,3,9,0.0,0,1
47,47,РФ,1,0,1,0,2,1.0,1,0
48,48,и,0,0,1,3,1,0.0,0,1
49,49,его,0,0,1,3,3,0.0,0,1
50,50,влиянии,0,0,1,3,7,0.0,0,1
51,51,на,0,0,1,3,2,0.0,0,1
52,52,результаты,0,0,1,3,10,0.0,0,1
53,53,использования,0,0,1,3,13,0.0,0,1
54,54,вспомогательных,0,0,1,3,15,0.0,0,1
55,55,репродуктивных,0,0,1,3,14,0.0,0,1
56,56,технологий,0,0,1,3,10,0.0,0,1
57,57,(,0,1,0,0,1,0.0,0,0
58,58,ВРТ,1,0,1,0,3,1.0,1,0
59,59,),0,1,0,0,1,0.0,0,0
60,60,при,0,0,1,3,3,0.0,0,1
61,61,лечении,0,0,1,3,7,0.0,0,1
62,62,бесп-ия,1,1,1,3,7,0.0,0,0
63,63,.,0,1,0,0,1,0.0,0,0
64,64,Был,0,0,1,3,3,0.3333333333333333,0,1
65,65,проведен,0,0,1,3,8,0.0,0,1
66,66,поиск,0,0,1,3,5,0.0,0,1
67,67,литист,1,0,1,3,6,0.0,0,0
68,68,",",0,1,0,0,1,0.0,0,0
69,69,опубликованных,0,0,1,3,14,0.0,0,1
70,70,в,0,0,1,0,1,0.0,0,1
71,71,базе,0,0,1,3,4,0.0,0,1
72,72,данных,0,0,1,3,6,0.0,0,1
73,73,NSBI,0,0,1,3,4,1.0,1,0
74,74,PubMed,0,0,1,3,6,0.3333333333333333,1,0
75,75,",",0,1,0,0,1,0.0,0,0
76,76,Medline,0,0,1,3,7,0.14285714285714285,0,0
77,77,и,0,0,1,3,1,0.0,0,1
78,78,др,1,0,1,0,2,0.0,0,0
79,79,.,0,1,0,0,1,0.0,0,0
80,80,с,0,0,1,0,1,0.0,0,1
81,81,глубиной,0,0,1,3,8,0.0,0,1
82,82,поиска,0,0,1,3,6,0.0,0,1
83,83,до,0,0,1,3,2,0.0,0,1
84,84,20,0,0,2,0,2,0.0,0,0
85,85,лет,0,0,1,3,3,0.0,0,1
86,86,.,0,1,0,0,1,0.0,0,0
87,87,Было,0,0,1,3,4,0.25,0,1
88,88,изучено,0,0,1,3,7,0.0,0,1
89,89,135,0,0,2,0,3,0.0,0,0
90,90,источников,0,0,1,3,10,0.0,0,1
91,91,по,0,0,1,3,2,0.0,0,1
92,92,данной,0,0,1,3,6,0.0,0,1
93,93,теме,0,0,1,3,4,0.0,0,1
94,94,",",0,1,0,0,1,0.0,0,0
95,95,из,0,0,1,3,2,0.0,0,1
96,96,которых,0,0,1,3,7,0.0,0,1
97,97,54,0,0,2,0,2,0.0,0,0
98,98,были,0,0,1,3,4,0.0,0,1
99,99,включены,0,0,1,3,8,0.0,0,1
100,100,в,0,0,1,0,1,0.0,0,1
101,101,анализ,0,0,1,3,6,0.0,0,1
102,102,.,0,1,0,0,1,0.0,0,0
103,103,В,0,0,1,0,1,1.0,0,1
104,104,обзоре,0,0,1,3,6,0.0,0,0
105,105,представлены,0,0,1,3,12,0.0,0,1
106,106,данные,0,0,1,3,6,0.0,0,1
107,107,",",0,1,0,0,1,0.0,0,0
108,108,полученные,0,0,1,3,10,0.0,0,1
109,109,в,0,0,1,0,1,0.0,0,1
110,110,работах,0,0,1,3,7,0.0,0,1
111,111,на,0,0,1,3,2,0.0,0,1
112,112,животных,0,0,1,3,8,0.0,0,1
113,113,",",0,1,0,0,1,0.0,0,0
114,114,in,0,0,1,3,2,0.0,0,0
115,115,vitro,0,0,1,3,5,0.0,0,0
116,116,и,0,0,1,3,1,0.0,0,1
117,117,в,0,0,1,0,1,0.0,0,1
118,118,клинических,0,0,1,3,11,0.0,0,1
119,119,исследованиях,0,0,1,3,13,0.0,0,1
120,120,.,0,1,0,0,1,0.0,0,0
121,121,Так,0,0,1,3,3,0.3333333333333333,0,1
122,122,",",0,1,0,0,1,0.0,0,0
123,123,отсутствие,0,0,1,3,10,0.0,0,1
124,124,витамина,0,0,1,3,8,0.0,0,1
125,125,D,0,0,1,0,1,1.0,0,0
126,126,приводило,0,0,1,3,9,0.0,0,1
127,127,в,0,0,1,0,1,0.0,0,1
128,128,резкому,0,0,1,3,7,0.0,0,1
129,129,снижению,0,0,1,3,8,0.0,0,1
130,130,фертильности,0,0,1,3,12,0.0,0,1
131,131,как,0,0,1,3,3,0.0,0,1
132,132,у,0,0,1,3,1,0.0,0,1
133,133,самок,0,0,1,3,5,0.0,0,1
134,134,",",0,1,0,0,1,0.0,0,0
135,135,так,0,0,1,3,3,0.0,0,1
136,136,и,0,0,1,3,1,0.0,0,1
137,137,самцов,0,0,1,3,6,0.0,0,1
138,138,крыс,0,0,1,3,4,0.0,0,1
139,139,и,0,0,1,3,1,0.0,0,1
140,140,мышей,0,0,1,3,5,0.0,0,1
141,141,за,0,0,1,3,2,0.0,0,1
142,142,счет,0,0,1,3,4,0.0,0,0
143,143,развития,0,0,1,3,8,0.0,0,1
144,144,гипокальциемии,0,0,1,3,14,0.0,0,0
145,145,.,0,1,0,0,1,0.0,0,0
146,146,Работы,0,0,1,3,6,0.16666666666666666,0,1
147,147,",",0,1,0,0,1,0.0,0,0
148,148,проведенные,0,0,1,3,11,0.0,0,1
149,149,in,0,0,1,3,2,0.0,0,0
150,150,vitro,0,0,1,3,5,0.0,0,0
151,151,",",0,1,0,0,1,0.0,0,0
152,152,описывают,0,0,1,3,9,0.0,0,1
153,153,его,0,0,1,3,3,0.0,0,1
154,154,участие,0,0,1,3,7,0.0,0,1
155,155,в,0,0,1,0,1,0.0,0,1
156,156,рецептивной,0,0,1,3,11,0.0,0,1
157,157,трансформации,0,0,1,3,13,0.0,0,1
158,158,эндометрия,0,0,1,3,10,0.0,0,1
159,159,и,0,0,1,3,1,0.0,0,1
160,160,в,0,0,1,0,1,0.0,0,1
161,161,формировании,0,0,1,3,12,0.0,0,1
162,162,иммунного,0,0,1,3,9,0.0,0,1
163,163,ответа,0,0,1,3,6,0.0,0,1
164,164,(,0,1,0,0,1,0.0,0,0
165,165,ИО,1,0,1,3,2,1.0,1,0
166,166,),0,1,0,0,1,0.0,0,0
167,167,во,0,0,1,3,2,0.0,0,1
168,168,время,0,0,1,3,5,0.0,0,1
169,169,имплантации,0,0,1,3,11,0.0,0,1
170,170,эмбриона,0,0,1,3,8,0.0,0,1
171,171,.,0,1,0,0,1,0.0,0,0
172,172,При,0,0,1,3,3,0.3333333333333333,0,1
173,173,этом,0,0,1,3,4,0.0,0,1
174,174,клисс,1,0,1,3,5,0.0,0,0
175,175,часто,0,0,1,3,5,0.0,0,0
176,176,показывают,0,0,1,3,10,0.0,0,1
177,177,противоречивые,0,0,1,3,14,0.0,0,1
178,178,результаты,0,0,1,3,10,0.0,0,1
179,179,.,0,1,0,0,1,0.0,0,0
