,Unnamed: 0,token,is_abbreviation,special_symbols,letters_numbers_combination,vowels_consonants_combination,get_token_length,upper_letters_rate,upper_letters_inside,is_in_dictionary
0,0,АПРОБАЦИЯ,0,0,1,3,9,1.0,1,1
1,1,И,0,0,1,3,1,1.0,0,1
2,2,ВАЛИДАЦИЯ,0,0,1,3,9,1.0,1,0
3,3,РУССКОЙ,0,0,1,3,7,1.0,1,1
4,4,ВЕРСИИ,0,0,1,3,6,1.0,1,1
5,5,ОПРОСНИКА,0,0,1,3,9,1.0,1,0
6,6,ДЛЯ,0,0,1,3,3,1.0,1,1
7,7,ОЦЕНКИ,0,0,1,3,6,1.0,1,1
8,8,КАЧЕСТВА,0,0,1,3,8,1.0,1,1
9,9,ЖИЗНИ,0,0,1,3,5,1.0,1,1
10,10,У,0,0,1,3,1,1.0,0,1
11,11,БОЛЬНЫХ,0,0,1,3,7,1.0,1,1
12,12,ПЕРВИЧНЫМ,0,0,1,3,9,1.0,1,1
13,13,ГИПЕРПАРАТИРЕОЗОМ,0,0,1,3,17,1.0,1,0
14,14,—,0,1,0,0,1,0.0,0,0
15,15,PHPQoL,1,0,1,3,6,0.8333333333333334,1,0
16,16,ОБОСНОВАНИЕ,0,0,1,3,11,1.0,1,0
17,17,.,0,1,0,0,1,0.0,0,0
18,18,Оценка,0,0,1,3,6,0.16666666666666666,0,1
19,19,качества,0,0,1,3,8,0.0,0,1
20,20,жизни,0,0,1,3,5,0.0,0,1
21,21,хирургического,0,0,1,3,14,0.0,0,1
22,22,лечения,0,0,1,3,7,0.0,0,1
23,23,первичном,0,0,1,3,9,0.0,0,1
24,24,гиперпаратиреозе,0,0,1,3,16,0.0,0,0
25,25,(,0,1,0,0,1,0.0,0,0
26,26,ПГПТ,1,0,1,0,4,1.0,1,0
27,27,),0,1,0,0,1,0.0,0,0
28,28,использована,0,0,1,3,12,0.0,0,1
29,29,комплексной,0,0,1,3,11,0.0,0,1
30,30,оценки,0,0,1,3,6,0.0,0,1
31,31,эффекта,0,0,1,3,7,0.0,0,1
32,32,терапии,0,0,1,3,7,0.0,0,1
33,33,",",0,1,0,0,1,0.0,0,0
34,34,также,0,0,1,3,5,0.0,0,1
35,35,мониторинга,0,0,1,3,11,0.0,0,0
36,36,состояния,0,0,1,3,9,0.0,0,1
37,37,больного,0,0,1,3,8,0.0,0,1
38,38,операции,0,0,1,3,8,0.0,0,1
39,39,",",0,1,0,0,1,0.0,0,0
40,40,числе,0,0,1,3,5,0.0,0,1
41,41,реальной,0,0,1,3,8,0.0,0,1
42,42,клинической,0,0,1,3,11,0.0,0,1
43,43,практике,0,0,1,3,8,0.0,0,1
44,44,.,0,1,0,0,1,0.0,0,0
45,45,ЦЕЛЬ,0,0,1,3,4,1.0,1,1
46,46,.,0,1,0,0,1,0.0,0,0
47,47,Целью,0,0,1,3,5,0.2,0,1
48,48,исследования,0,0,1,3,12,0.0,0,1
49,49,являлась,0,0,1,3,8,0.0,0,1
50,50,валидация,0,0,1,3,9,0.0,0,0
51,51,русской,0,0,1,3,7,0.0,0,1
52,52,версии,0,0,1,3,6,0.0,0,1
53,53,опросника,0,0,1,3,9,0.0,0,0
54,54,PHPQoL,1,0,1,3,6,0.8333333333333334,1,0
55,55,оценки,0,0,1,3,6,0.0,0,1
56,56,качества,0,0,1,3,8,0.0,0,1
57,57,жизни,0,0,1,3,5,0.0,0,1
58,58,больных,0,0,1,3,7,0.0,0,1
59,59,первичным,0,0,1,3,9,0.0,0,1
60,60,гиперпаратиреозом,0,0,1,3,17,0.0,0,0
61,61,(,0,1,0,0,1,0.0,0,0
62,62,ПГПТ,1,0,1,0,4,1.0,1,0
63,63,),0,1,0,0,1,0.0,0,0
64,64,апробация,0,0,1,3,9,0.0,0,1
65,65,отечественной,0,0,1,3,13,0.0,0,1
66,66,популяции,0,0,1,3,9,0.0,0,1
67,67,больных,0,0,1,3,7,0.0,0,1
68,68,ПГПТ,1,0,1,0,4,1.0,1,0
69,69,целью,0,0,1,3,5,0.0,0,1
70,70,дальнейшего,0,0,1,3,11,0.0,0,1
71,71,применения,0,0,1,3,10,0.0,0,1
72,72,клинической,0,0,1,3,11,0.0,0,1
73,73,практике,0,0,1,3,8,0.0,0,1
74,74,научных,0,0,1,3,7,0.0,0,1
75,75,исследованиях,0,0,1,3,13,0.0,0,1
76,76,.,0,1,0,0,1,0.0,0,0
77,77,МАТЕРИАЛЫ,0,0,1,3,9,1.0,1,1
78,78,И,0,0,1,3,1,1.0,0,1
79,79,МЕТОДЫ,0,0,1,3,6,1.0,1,1
80,80,.,0,1,0,0,1,0.0,0,0
81,81,В,0,0,1,0,1,1.0,0,1
