,Unnamed: 0,token,is_abbreviation,special_symbols,letters_numbers_combination,vowels_consonants_combination,get_token_length,upper_letters_rate,upper_letters_inside,is_in_dictionary
0,0,Недостаточность,0,0,1,3,15,0.06666666666666667,0,1
1,1,дефицит,0,0,1,3,7,0.0,0,1
2,2,витамина,0,0,1,3,8,0.0,0,1
3,3,D,0,0,1,0,1,1.0,0,0
4,4,женщин,0,0,1,3,6,0.0,0,1
5,5,бесплодием,0,0,1,3,10,0.0,0,1
6,6,встречаются,0,0,1,3,11,0.0,0,1
7,7,чаще,0,0,1,3,4,0.0,0,1
8,8,",",0,1,0,0,1,0.0,0,0
9,9,популяции,0,0,1,3,9,0.0,0,1
10,10,.,0,1,0,0,1,0.0,0,0
11,11,Однако,0,0,1,3,6,0.16666666666666666,0,1
12,12,сих,0,0,1,3,3,0.0,0,1
13,13,пор,0,0,1,3,3,0.0,0,1
14,14,знаем,0,0,1,3,5,0.0,0,1
15,15,точных,0,0,1,3,6,0.0,0,1
16,16,механизмов,0,0,1,3,10,0.0,0,1
17,17,участия,0,0,1,3,7,0.0,0,1
18,18,витамина,0,0,1,3,8,0.0,0,1
19,19,D,0,0,1,0,1,1.0,0,0
20,20,регуляции,0,0,1,3,9,0.0,0,1
21,21,репродуктивной,0,0,1,3,14,0.0,0,1
22,22,функции,0,0,1,3,7,0.0,0,1
23,23,.,0,1,0,0,1,0.0,0,0
24,24,Целью,0,0,1,3,5,0.2,0,1
25,25,данного,0,0,1,3,7,0.0,0,1
26,26,исследования,0,0,1,3,12,0.0,0,1
27,27,является,0,0,1,3,8,0.0,0,1
28,28,анализ,0,0,1,3,6,0.0,0,1
29,29,современных,0,0,1,3,11,0.0,0,1
30,30,литературных,0,0,1,3,12,0.0,0,1
31,31,данных,0,0,1,3,6,0.0,0,1
32,32,роли,0,0,1,3,4,0.0,0,1
33,33,витамина,0,0,1,3,8,0.0,0,1
34,34,D,0,0,1,0,1,1.0,0,0
35,35,регуляции,0,0,1,3,9,0.0,0,1
36,36,РФ,1,0,1,0,2,1.0,1,0
37,37,влиянии,0,0,1,3,7,0.0,0,1
38,38,результаты,0,0,1,3,10,0.0,0,1
39,39,использования,0,0,1,3,13,0.0,0,1
40,40,вспомогательных,0,0,1,3,15,0.0,0,1
41,41,репродуктивных,0,0,1,3,14,0.0,0,1
42,42,технологий,0,0,1,3,10,0.0,0,1
43,43,(,0,1,0,0,1,0.0,0,0
44,44,ВРТ,1,0,1,0,3,1.0,1,0
45,45,),0,1,0,0,1,0.0,0,0
46,46,лечении,0,0,1,3,7,0.0,0,1
47,47,бесп-ия,1,1,1,3,7,0.0,0,0
48,48,.,0,1,0,0,1,0.0,0,0
49,49,Был,0,0,1,3,3,0.3333333333333333,0,1
50,50,проведен,0,0,1,3,8,0.0,0,1
51,51,поиск,0,0,1,3,5,0.0,0,1
52,52,литист,1,0,1,3,6,0.0,0,0
53,53,",",0,1,0,0,1,0.0,0,0
54,54,опубликованных,0,0,1,3,14,0.0,0,1
55,55,базе,0,0,1,3,4,0.0,0,1
56,56,данных,0,0,1,3,6,0.0,0,1
57,57,NSBI,0,0,1,3,4,1.0,1,0
58,58,PubMed,0,0,1,3,6,0.3333333333333333,1,0
59,59,",",0,1,0,0,1,0.0,0,0
60,60,Medline,0,0,1,3,7,0.14285714285714285,0,0
61,61,др,1,0,1,0,2,0.0,0,0
62,62,.,0,1,0,0,1,0.0,0,0
63,63,глубиной,0,0,1,3,8,0.0,0,1
64,64,поиска,0,0,1,3,6,0.0,0,1
65,65,20,0,0,2,0,2,0.0,0,0
66,66,лет,0,0,1,3,3,0.0,0,1
67,67,.,0,1,0,0,1,0.0,0,0
68,68,Было,0,0,1,3,4,0.25,0,1
69,69,изучено,0,0,1,3,7,0.0,0,1
70,70,135,0,0,2,0,3,0.0,0,0
71,71,источников,0,0,1,3,10,0.0,0,1
72,72,данной,0,0,1,3,6,0.0,0,1
73,73,теме,0,0,1,3,4,0.0,0,1
74,74,",",0,1,0,0,1,0.0,0,0
75,75,которых,0,0,1,3,7,0.0,0,1
76,76,54,0,0,2,0,2,0.0,0,0
77,77,включены,0,0,1,3,8,0.0,0,1
78,78,анализ,0,0,1,3,6,0.0,0,1
79,79,.,0,1,0,0,1,0.0,0,0
80,80,В,0,0,1,0,1,1.0,0,1
81,81,обзоре,0,0,1,3,6,0.0,0,0
82,82,представлены,0,0,1,3,12,0.0,0,1
83,83,данные,0,0,1,3,6,0.0,0,1
84,84,",",0,1,0,0,1,0.0,0,0
85,85,полученные,0,0,1,3,10,0.0,0,1
86,86,работах,0,0,1,3,7,0.0,0,1
87,87,животных,0,0,1,3,8,0.0,0,1
88,88,",",0,1,0,0,1,0.0,0,0
89,89,in,0,0,1,3,2,0.0,0,0
90,90,vitro,0,0,1,3,5,0.0,0,0
91,91,клинических,0,0,1,3,11,0.0,0,1
92,92,исследованиях,0,0,1,3,13,0.0,0,1
93,93,.,0,1,0,0,1,0.0,0,0
94,94,Так,0,0,1,3,3,0.3333333333333333,0,1
95,95,",",0,1,0,0,1,0.0,0,0
96,96,отсутствие,0,0,1,3,10,0.0,0,1
97,97,витамина,0,0,1,3,8,0.0,0,1
98,98,D,0,0,1,0,1,1.0,0,0
99,99,приводило,0,0,1,3,9,0.0,0,1
100,100,резкому,0,0,1,3,7,0.0,0,1
101,101,снижению,0,0,1,3,8,0.0,0,1
102,102,фертильности,0,0,1,3,12,0.0,0,1
103,103,самок,0,0,1,3,5,0.0,0,1
104,104,",",0,1,0,0,1,0.0,0,0
105,105,самцов,0,0,1,3,6,0.0,0,1
106,106,крыс,0,0,1,3,4,0.0,0,1
107,107,мышей,0,0,1,3,5,0.0,0,1
108,108,счет,0,0,1,3,4,0.0,0,0
109,109,развития,0,0,1,3,8,0.0,0,1
110,110,гипокальциемии,0,0,1,3,14,0.0,0,0
111,111,.,0,1,0,0,1,0.0,0,0
112,112,Работы,0,0,1,3,6,0.16666666666666666,0,1
113,113,",",0,1,0,0,1,0.0,0,0
114,114,проведенные,0,0,1,3,11,0.0,0,1
115,115,in,0,0,1,3,2,0.0,0,0
116,116,vitro,0,0,1,3,5,0.0,0,0
117,117,",",0,1,0,0,1,0.0,0,0
118,118,описывают,0,0,1,3,9,0.0,0,1
119,119,участие,0,0,1,3,7,0.0,0,1
120,120,рецептивной,0,0,1,3,11,0.0,0,1
121,121,трансформации,0,0,1,3,13,0.0,0,1
122,122,эндометрия,0,0,1,3,10,0.0,0,1
123,123,формировании,0,0,1,3,12,0.0,0,1
124,124,иммунного,0,0,1,3,9,0.0,0,1
125,125,ответа,0,0,1,3,6,0.0,0,1
126,126,(,0,1,0,0,1,0.0,0,0
127,127,ИО,1,0,1,3,2,1.0,1,0
128,128,),0,1,0,0,1,0.0,0,0
129,129,время,0,0,1,3,5,0.0,0,1
130,130,имплантации,0,0,1,3,11,0.0,0,1
131,131,эмбриона,0,0,1,3,8,0.0,0,1
132,132,.,0,1,0,0,1,0.0,0,0
133,133,При,0,0,1,3,3,0.3333333333333333,0,1
134,134,клисс,1,0,1,3,5,0.0,0,0
135,135,часто,0,0,1,3,5,0.0,0,0
136,136,показывают,0,0,1,3,10,0.0,0,1
137,137,противоречивые,0,0,1,3,14,0.0,0,1
138,138,результаты,0,0,1,3,10,0.0,0,1
139,139,.,0,1,0,0,1,0.0,0,0
140,140,У,0,0,1,3,1,1.0,0,1
141,141,мужчин,0,0,1,3,6,0.0,0,1
142,142,получено,0,0,1,3,8,0.0,0,1
143,143,однозначных,0,0,1,3,11,0.0,0,1
144,144,данных,0,0,1,3,6,0.0,0,1
145,145,влиянии,0,0,1,3,7,0.0,0,1
146,146,уровня,0,0,1,3,6,0.0,0,0
147,147,витамина,0,0,1,3,8,0.0,0,1
148,148,D,0,0,1,0,1,1.0,0,0
149,149,показатели,0,0,1,3,10,0.0,0,1
150,150,спермограммы,0,0,1,3,12,0.0,0,0
151,151,",",0,1,0,0,1,0.0,0,0
152,152,продемонстрировано,0,0,1,3,18,0.0,0,1
153,153,снижение,0,0,1,3,8,0.0,0,1
154,154,частоты,0,0,1,3,7,0.0,0,1
155,155,наступления,0,0,1,3,11,0.0,0,1
156,156,беременности,0,0,1,3,12,0.0,0,1
157,157,ИО,1,0,1,3,2,1.0,1,0
158,158,парах,0,0,1,3,5,0.0,0,1
159,159,",",0,1,0,0,1,0.0,0,0
160,160,мужчины,0,0,1,3,7,0.0,0,1
161,161,выявлено,0,0,1,3,8,0.0,0,1
162,162,деф,1,0,1,3,3,0.0,0,0
163,163,.,0,1,0,0,1,0.0,0,0
164,164,состояние,0,0,1,3,9,0.0,0,1
165,165,.,0,1,0,0,1,0.0,0,0
166,166,Метаанализ,0,0,1,3,10,0.1,0,0
167,167,",",0,1,0,0,1,0.0,0,0
168,168,опубликованный,0,0,1,3,14,0.0,0,1
169,169,2017,0,0,2,0,4,0.0,0,0
170,170,г.,1,1,1,0,2,0.0,0,0
171,171,",",0,1,0,0,1,0.0,0,0
172,172,показал,0,0,1,3,7,0.0,0,1
173,173,снижение,0,0,1,3,8,0.0,0,1
174,174,частоты,0,0,1,3,7,0.0,0,1
175,175,наступления,0,0,1,3,11,0.0,0,1
176,176,беременности,0,0,1,3,12,0.0,0,1
177,177,родов,0,0,1,3,5,0.0,0,1
178,178,результате,0,0,1,3,10,0.0,0,1
179,179,применения,0,0,1,3,10,0.0,0,1
180,180,ВРТ,1,0,1,0,3,1.0,1,0
181,181,женщин,0,0,1,3,6,0.0,0,1
182,182,низким,0,0,1,3,6,0.0,0,1
183,183,уровнем,0,0,1,3,7,0.0,0,0
184,184,витамина,0,0,1,3,8,0.0,0,1
185,185,D.,0,1,1,0,2,0.5,0,0
186,186,При,0,0,1,3,3,0.3333333333333333,0,1
187,187,авторам,0,0,1,3,7,0.0,0,1
188,188,удалось,0,0,1,3,7,0.0,0,1
189,189,установить,0,0,1,3,10,0.0,0,1
190,190,",",0,1,0,0,1,0.0,0,0
191,191,связано,0,0,1,3,7,0.0,0,1
192,192,это,0,0,1,3,3,0.0,0,1
193,193,действием,0,0,1,3,9,0.0,0,1
194,194,витамина,0,0,1,3,8,0.0,0,1
195,195,D,0,0,1,0,1,1.0,0,0
196,196,качество,0,0,1,3,8,0.0,0,1
197,197,ооцита,0,0,1,3,6,0.0,0,0
198,198,эндометрий,0,0,1,3,10,0.0,0,1
199,199,.,0,1,0,0,1,0.0,0,0
200,200,Возможно,0,0,1,3,8,0.125,0,1
201,201,",",0,1,0,0,1,0.0,0,0
202,202,влияние,0,0,1,3,7,0.0,0,1
203,203,фертильность,0,0,1,3,12,0.0,0,1
204,204,реализуется,0,0,1,3,11,0.0,0,1
205,205,формах,0,0,1,3,6,0.0,0,1
206,206,бесплодия,0,0,1,3,9,0.0,0,1
207,207,.,0,1,0,0,1,0.0,0,0
208,208,Например,0,0,1,3,8,0.125,0,1
209,209,",",0,1,0,0,1,0.0,0,0
210,210,ановуляторном,0,0,1,3,13,0.0,0,0
211,211,бесплодии,0,0,1,3,9,0.0,0,1
212,212,",",0,1,0,0,1,0.0,0,0
213,213,обусловленном,0,0,1,3,13,0.0,0,0
214,214,синдромом,0,0,1,3,9,0.0,0,1
215,215,поликистозных,0,0,1,3,13,0.0,0,0
216,216,яичников,0,0,1,3,8,0.0,0,1
217,217,",",0,1,0,0,1,0.0,0,0
218,218,дефицит,0,0,1,3,7,0.0,0,1
219,219,витамина,0,0,1,3,8,0.0,0,1
220,220,D,0,0,1,0,1,1.0,0,0
221,221,оказывает,0,0,1,3,9,0.0,0,0
222,222,негативное,0,0,1,3,10,0.0,0,1
223,223,влияние,0,0,1,3,7,0.0,0,1
224,224,частоту,0,0,1,3,7,0.0,0,1
225,225,наступления,0,0,1,3,11,0.0,0,1
226,226,беременности,0,0,1,3,12,0.0,0,1
227,227,циклах,0,0,1,3,6,0.0,0,1
228,228,стимуляции,0,0,1,3,10,0.0,0,0
229,229,овуляции,0,0,1,3,8,0.0,0,1
230,230,",",0,1,0,0,1,0.0,0,0
231,231,применении,0,0,1,3,10,0.0,0,1
