iter	Passed	Remaining
0	60	12104
1	136	13478
2	183	12063
3	232	11382
4	278	10866
5	324	10501
6	360	9952
7	405	9734
8	449	9535
9	492	9357
10	538	9244
11	581	9115
12	625	8994
13	669	8897
14	712	8785
15	740	8518
16	780	8405
17	790	7993
18	822	7834
19	862	7759
20	899	7663
21	936	7577
22	977	7522
23	1019	7476
24	1040	7281
25	1080	7230
26	1121	7186
27	1163	7144
28	1205	7105
29	1247	7071
30	1290	7037
31	1336	7015
32	1378	6976
33	1422	6945
34	1466	6912
35	1503	6851
36	1531	6745
37	1559	6650
38	1590	6567
39	1639	6558
40	1684	6534
41	1733	6522
42	1779	6496
43	1809	6413
44	1844	6352
45	1886	6316
46	1925	6267
47	1966	6228
48	2000	6166
49	2039	6119
50	2080	6078
51	2121	6038
52	2164	6002
53	2209	5974
54	2253	5940
55	2296	5904
56	2339	5869
57	2375	5815
58	2417	5776
59	2462	5744
60	2469	5627
61	2510	5588
62	2557	5561
63	2600	5526
64	2649	5502
65	2690	5463
66	2707	5373
67	2753	5344
68	2780	5279
69	2814	5227
70	2857	5191
71	2896	5149
72	2911	5064
73	2953	5029
74	2968	4948
75	3008	4908
76	3049	4871
77	3095	4841
78	3138	4807
79	3180	4771
80	3223	4735
81	3264	4698
82	3311	4668
83	3358	4638
84	3399	4599
85	3444	4565
86	3496	4541
87	3531	4494
88	3570	4453
89	3613	4416
90	3653	4376
91	3695	4338
92	3740	4303
93	3779	4262
94	3823	4225
95	3866	4188
96	3908	4150
97	3950	4112
98	3996	4076
99	4038	4038
100	4078	3998
101	4120	3959
102	4153	3911
103	4184	3862
104	4226	3824
105	4267	3784
106	4314	3749
107	4359	3713
108	4403	3675
109	4445	3637
110	4489	3599
111	4533	3562
112	4578	3525
113	4625	3489
114	4663	3447
115	4710	3411
116	4752	3371
117	4787	3326
118	4824	3284
119	4880	3253
120	4928	3217
121	4986	3187
122	5020	3142
123	5053	3097
124	5094	3056
125	5134	3015
126	5177	2976
127	5216	2934
128	5253	2891
129	5295	2851
130	5338	2811
131	5381	2772
132	5426	2733
133	5471	2694
134	5514	2655
135	5558	2615
136	5601	2575
137	5643	2535
138	5684	2494
139	5727	2454
140	5761	2410
141	5786	2363
142	5818	2319
143	5854	2276
144	5891	2234
145	5932	2194
146	5977	2155
147	6019	2115
148	6060	2074
149	6101	2033
150	6144	1993
151	6185	1953
152	6226	1912
153	6270	1872
154	6310	1832
155	6356	1792
156	6397	1752
157	6439	1711
158	6481	1671
159	6522	1630
160	6561	1589
161	6597	1547
162	6637	1506
163	6681	1466
164	6725	1426
165	6767	1386
166	6808	1345
167	6850	1304
168	6895	1264
169	6936	1224
170	6978	1183
171	7020	1142
172	7061	1102
173	7103	1061
174	7147	1021
175	7190	980
176	7232	939
177	7275	899
178	7319	858
179	7361	817
180	7403	777
181	7445	736
182	7491	695
183	7533	655
184	7575	614
185	7616	573
186	7648	531
187	7694	491
188	7731	449
189	7771	409
190	7814	368
191	7856	327
192	7898	286
193	7940	245
194	7982	204
195	8026	163
196	8069	122
197	8110	81
198	8153	40
199	8194	0
